Metabolite	proportion_medium	medium	SampleName	Compartment	Conc	unit
EX_cpd00006_e0	100	wheat	Wheat11-2	Duodenum	1.84576961814243e-08	mM
EX_cpd00006_e0	100	wheat	Wheat11-3	Duodenum	2.75790973008634e-08	mM
EX_cpd00006_e0	100	wheat	Wheat9-1	Duodenum	1.82304199294357e-08	mM
EX_cpd00006_e0	100	wheat	Wheat9-2	Duodenum	5.58131313605317e-09	mM
EX_cpd00006_e0	100	corn	Corn10-1	Gizzard	2.81585333926766e-09	mM
EX_cpd00006_e0	100	corn	Corn10-2	Gizzard	8.9496957243523e-10	mM
EX_cpd00006_e0	100	corn	Corn5-1	Gizzard	2.56858719478216e-08	mM
EX_cpd00006_e0	100	corn	Corn5-2	Gizzard	2.20009528932245e-08	mM
EX_cpd00006_e0	100	corn	Corn5-3	Gizzard	5.41088969608784e-08	mM
EX_cpd00006_e0	100	wheat	Wheat11-1	Gizzard	1.43794116663774e-08	mM
EX_cpd00006_e0	100	wheat	Wheat11-2	Gizzard	9.63728510528677e-09	mM
EX_cpd00006_e0	100	wheat	Wheat11-3	Gizzard	1.03159762887114e-08	mM
EX_cpd00006_e0	100	wheat	Wheat9-1	Gizzard	8.38406227124872e-09	mM
EX_cpd00006_e0	100	wheat	Wheat9-2	Gizzard	2.76951718575344e-09	mM
EX_cpd00006_e0	100	corn	Corn10-1	Ileum	2.78586327273477e-08	mM
EX_cpd00006_e0	100	corn	Corn10-2	Ileum	2.10473698373768e-08	mM
EX_cpd00006_e0	100	corn	Corn5-1	Ileum	1.01059800424572e-07	mM
EX_cpd00006_e0	100	corn	Corn5-2	Ileum	9.61118353053365e-08	mM
EX_cpd00006_e0	100	corn	Corn5-3	Ileum	1.16640871805329e-07	mM
EX_cpd00006_e0	100	wheat	Wheat11-1	Ileum	6.31466597852752e-08	mM
EX_cpd00006_e0	100	wheat	Wheat11-2	Ileum	5.62556727619211e-08	mM
EX_cpd00006_e0	100	wheat	Wheat11-3	Ileum	1.30119706793465e-07	mM
EX_cpd00006_e0	100	wheat	Wheat9-1	Ileum	1.16939615412709e-07	mM
EX_cpd00006_e0	100	wheat	Wheat9-2	Ileum	8.65330230527917e-08	mM
EX_cpd00006_e0	100	corn	Corn10-1	Jejunum	3.55456535896496e-08	mM
EX_cpd00006_e0	100	corn	Corn10-2	Jejunum	1.28535631659942e-08	mM
EX_cpd00006_e0	100	corn	Corn5-1	Jejunum	1.0717749834571e-07	mM
EX_cpd00006_e0	100	corn	Corn5-2	Jejunum	1.14523763744432e-07	mM
EX_cpd00006_e0	100	corn	Corn5-3	Jejunum	2.28889720093086e-07	mM
EX_cpd00006_e0	100	wheat	Wheat11-1	Jejunum	8.97992014342682e-08	mM
EX_cpd00006_e0	100	wheat	Wheat11-2	Jejunum	5.31202951437013e-08	mM
EX_cpd00006_e0	100	wheat	Wheat11-3	Jejunum	7.07280769926698e-08	mM
EX_cpd00006_e0	100	wheat	Wheat9-1	Jejunum	4.25440361855176e-08	mM
EX_cpd00006_e0	100	wheat	Wheat9-2	Jejunum	3.75756424051877e-08	mM
EX_cpd00007_e0	100	corn	Corn10-1	Cecum	5.13528685783858e-08	mM
EX_cpd00007_e0	100	corn	Corn10-2	Cecum	4.72585595956144e-08	mM
EX_cpd00007_e0	100	corn	Corn5-1	Cecum	4.35809419657627e-08	mM
EX_cpd00007_e0	100	corn	Corn5-2	Cecum	3.47622892539469e-08	mM
EX_cpd00007_e0	100	corn	Corn5-3	Cecum	3.39833680801477e-08	mM
EX_cpd00007_e0	100	wheat	Wheat11-1	Cecum	1.1942586043507e-08	mM
EX_cpd00007_e0	100	wheat	Wheat11-2	Cecum	5.85886148679766e-09	mM
EX_cpd00007_e0	100	wheat	Wheat11-3	Cecum	2.0151400558039e-08	mM
EX_cpd00007_e0	100	wheat	Wheat9-1	Cecum	3.64548185124094e-08	mM
EX_cpd00007_e0	100	wheat	Wheat9-2	Cecum	4.51895086757088e-08	mM
EX_cpd00007_e0	100	corn	Corn10-1	Colon	6.5563999965775e-07	mM
EX_cpd00007_e0	100	corn	Corn10-2	Colon	6.6691999995717e-07	mM
EX_cpd00007_e0	100	corn	Corn5-1	Colon	6.36920000910986e-07	mM
EX_cpd00007_e0	100	corn	Corn5-2	Colon	6.22960000167856e-07	mM
EX_cpd00007_e0	100	corn	Corn5-3	Colon	6.37668511845576e-07	mM
EX_cpd00007_e0	100	wheat	Wheat11-1	Colon	4.01948702784536e-07	mM
EX_cpd00007_e0	100	wheat	Wheat11-2	Colon	4.07890147130264e-07	mM
EX_cpd00007_e0	100	wheat	Wheat11-3	Colon	4.95619999462931e-07	mM
EX_cpd00007_e0	100	wheat	Wheat9-1	Colon	6.40320000807826e-07	mM
EX_cpd00007_e0	100	wheat	Wheat9-2	Colon	6.72440000456763e-07	mM
EX_cpd00007_e0	100	corn	Corn10-1	Duodenum	9.60425679679632e-05	mM
EX_cpd00007_e0	100	corn	Corn10-2	Duodenum	9.6203069727883e-05	mM
EX_cpd00007_e0	100	corn	Corn5-1	Duodenum	9.46123042560442e-05	mM
EX_cpd00007_e0	100	corn	Corn5-2	Duodenum	9.37734667200178e-05	mM
EX_cpd00007_e0	100	corn	Corn5-3	Duodenum	9.48764730881898e-05	mM
EX_cpd00007_e0	100	wheat	Wheat11-1	Duodenum	9.39037013439013e-05	mM
EX_cpd00007_e0	100	wheat	Wheat11-2	Duodenum	9.58925916798746e-05	mM
EX_cpd00007_e0	100	wheat	Wheat11-3	Duodenum	9.44282906880454e-05	mM
EX_cpd00007_e0	100	wheat	Wheat9-1	Duodenum	9.43616165440224e-05	mM
EX_cpd00007_e0	100	wheat	Wheat9-2	Duodenum	9.5346304128008e-05	mM
EX_cpd00007_e0	100	corn	Corn10-1	Gizzard	0.000986404457024048	mM
EX_cpd00007_e0	100	corn	Corn10-2	Gizzard	0.000986742064480205	mM
EX_cpd00007_e0	100	corn	Corn5-1	Gizzard	0.000982815004608027	mM
EX_cpd00007_e0	100	corn	Corn5-2	Gizzard	0.000981057014272326	mM
EX_cpd00007_e0	100	corn	Corn5-3	Gizzard	0.000982906746655626	mM
EX_cpd00007_e0	100	wheat	Wheat11-1	Gizzard	0.000987387096832722	mM
EX_cpd00007_e0	100	wheat	Wheat11-2	Gizzard	0.00098950855804768	mM
EX_cpd00007_e0	100	wheat	Wheat11-3	Gizzard	0.000984014804768627	mM
EX_cpd00007_e0	100	wheat	Wheat9-1	Gizzard	0.000984287330015435	mM
EX_cpd00007_e0	100	wheat	Wheat9-2	Gizzard	0.000984319800768574	mM
EX_cpd00007_e0	100	corn	Corn10-1	Ileum	9.4647999464836e-07	mM
EX_cpd00007_e0	100	corn	Corn10-2	Ileum	9.47939999876163e-07	mM
EX_cpd00007_e0	100	corn	Corn5-1	Ileum	9.4139999912568e-07	mM
EX_cpd00007_e0	100	corn	Corn5-2	Ileum	9.37459996854861e-07	mM
EX_cpd00007_e0	100	corn	Corn5-3	Ileum	9.31619999531238e-07	mM
EX_cpd00007_e0	100	wheat	Wheat11-1	Ileum	8.7652329518104e-07	mM
EX_cpd00007_e0	100	wheat	Wheat11-2	Ileum	8.99186304711192e-07	mM
EX_cpd00007_e0	100	wheat	Wheat11-3	Ileum	8.93286142380864e-07	mM
EX_cpd00007_e0	100	wheat	Wheat9-1	Ileum	9.2292000134447e-07	mM
EX_cpd00007_e0	100	wheat	Wheat9-2	Ileum	9.30620000296922e-07	mM
EX_cpd00007_e0	100	corn	Corn10-1	Jejunum	9.57970639964885e-06	mM
EX_cpd00007_e0	100	corn	Corn10-2	Jejunum	9.55041251243312e-06	mM
EX_cpd00007_e0	100	corn	Corn5-1	Jejunum	9.53290083030466e-06	mM
EX_cpd00007_e0	100	corn	Corn5-2	Jejunum	9.51450483201848e-06	mM
EX_cpd00007_e0	100	corn	Corn5-3	Jejunum	9.5093319041224e-06	mM
EX_cpd00007_e0	100	wheat	Wheat11-1	Jejunum	9.47757385532786e-06	mM
EX_cpd00007_e0	100	wheat	Wheat11-2	Jejunum	9.6912100808877e-06	mM
EX_cpd00007_e0	100	wheat	Wheat11-3	Jejunum	9.45555756803658e-06	mM
EX_cpd00007_e0	100	wheat	Wheat9-1	Jejunum	9.29360160034114e-06	mM
EX_cpd00007_e0	100	wheat	Wheat9-2	Jejunum	9.35576870298183e-06	mM
EX_cpd00009_e0	100	corn	Corn10-1	Cecum	3.2898900158596e-05	mM
EX_cpd00009_e0	100	corn	Corn10-2	Cecum	4.48730302311979e-05	mM
EX_cpd00009_e0	100	corn	Corn5-1	Cecum	4.31848330252552e-05	mM
EX_cpd00009_e0	100	corn	Corn5-2	Cecum	2.42560572783562e-05	mM
EX_cpd00009_e0	100	corn	Corn5-3	Cecum	3.17019161721187e-05	mM
EX_cpd00009_e0	100	wheat	Wheat11-1	Cecum	4.92840496178984e-05	mM
EX_cpd00009_e0	100	wheat	Wheat11-2	Cecum	1.55456316630086e-05	mM
EX_cpd00009_e0	100	wheat	Wheat11-3	Cecum	4.40845867127838e-05	mM
EX_cpd00009_e0	100	wheat	Wheat9-1	Cecum	3.09001727865947e-05	mM
EX_cpd00009_e0	100	wheat	Wheat9-2	Cecum	9.23193041311787e-05	mM
EX_cpd00009_e0	100	corn	Corn10-1	Colon	0.0001892833099274	mM
EX_cpd00009_e0	100	corn	Corn10-2	Colon	0.000191385997480501	mM
EX_cpd00009_e0	100	corn	Corn5-1	Colon	0.000171543918434965	mM
EX_cpd00009_e0	100	corn	Corn5-2	Colon	0.00016644527008961	mM
EX_cpd00009_e0	100	corn	Corn5-3	Colon	0.000172585913457842	mM
EX_cpd00009_e0	100	wheat	Wheat11-1	Colon	0.000171079826449312	mM
EX_cpd00009_e0	100	wheat	Wheat11-2	Colon	0.000126528313437484	mM
EX_cpd00009_e0	100	wheat	Wheat11-3	Colon	0.000200193831089011	mM
EX_cpd00009_e0	100	wheat	Wheat9-1	Colon	0.000197819345444518	mM
EX_cpd00009_e0	100	wheat	Wheat9-2	Colon	0.000261996793032931	mM
EX_cpd00009_e0	100	corn	Corn10-1	Duodenum	0.000264654141398683	mM
EX_cpd00009_e0	100	corn	Corn10-2	Duodenum	0.000268386813116046	mM
EX_cpd00009_e0	100	corn	Corn5-1	Duodenum	0.000251831454436781	mM
EX_cpd00009_e0	100	corn	Corn5-2	Duodenum	0.000245957473728616	mM
EX_cpd00009_e0	100	corn	Corn5-3	Duodenum	0.000254565449394304	mM
